C0023791,MENTIONED_IN,23840916,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,23936146,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,23841061,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,28264587,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,23875003,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,23875003,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,24077434,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,24077434,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,24669286,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,24669288,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,24763117,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,25324467,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,24900954,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,26786145,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,26538832,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,25817254,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,26064418,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,17650315,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,21103342,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,HAS_MESH,21103342,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,22142382,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,26881039,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,MENTIONED_IN,22329651,MENTIONED_IN,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,OCCURS_IN__SPEC__,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0027361,IS_A,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0033684,LOCATION_OF,C1999167,TREATS,C0033148,3
